Column1;street;district
0; 1801 года;р-н Верх-Исетский
1;площадь 1905 года;р-н Верх-Исетский
2;1-й Подъемный переулок;р-н Железнодорожный
3; 22 Партсъезда;р-н Орджоникидзевский
4;2-й Подъемный переулок;р-н Железнодорожный
5;2-й Системный переулок;р-н Чкаловский
6; 2-й участок;р-н Верх-Исетский
7;2-я Новосибирская ;р-н Чкаловский
8; 3 Интернационала;р-н Железнодорожный
9; 3 Пятилетки;р-н Кировский
10; 40-летия Комсомола;р-н Кировский
11; 40-летия Октября;р-н Орджоникидзевский
12; 8 Марта;None
13;Авангардная ;р-н Орджоникидзевский
14; Авиаторов;р-н Октябрьский
15;Авиационная ;None
16;Автогенный переулок;р-н Железнодорожный
17;Автомагистральная ;р-н Железнодорожный
18;переулок Автоматики;р-н Кировский
19; Автоматчиков;р-н Железнодорожный
20;Автомобильный переулок;р-н Чкаловский
21; Автономных Республик;р-н Ленинский
22;Агатовая ;р-н Чкаловский
23;Аграрная ;р-н Октябрьский
24;Агрономическая ;р-н Чкаловский
25; Адмирала Ушакова;р-н Чкаловский
26; Азина;р-н Железнодорожный
27;Азотная ;р-н Чкаловский
28; Айвазовского;р-н Ленинский
29; Академика Бардина;р-н Чкаловский
30; Академика Вонсовского;р-н Академический
31; Академика Губкина;р-н Чкаловский
32; Академика Карпинского;р-н Чкаловский
33; Академика Павлова;р-н Чкаловский
34; Академика Постовского;р-н Ленинский
35; Академика Сахарова;р-н Академический
36;проспект Академика Сахарова;р-н Академический
37;бульвар Академика Семихатова Н. А.;р-н Академический
38; Академика Ферсмана;р-н Академический
39; Академика Шварца;р-н Чкаловский
40;Академическая ;р-н Кировский
41;Аквамариновая ;р-н Чкаловский
42; Аксакова;р-н Чкаловский
43; Акулова;р-н Железнодорожный
44;Алданская ;р-н Кировский
45;Александровская ;р-н Кировский
46; Алексеева;р-н Кировский
47;Алма-Атинский переулок;р-н Октябрьский
48;Алмазная ;р-н Чкаловский
49;Алтайская ;р-н Чкаловский
50;Альпийская ;р-н Верх-Исетский
51; Альпинистов;р-н Чкаловский
52;Амбулаторная ;р-н Чкаловский
53; Амундсена;р-н Ленинский
54;Амурская ;р-н Ленинский
